skillDevelopment,location,reviewText,overallScore,workSatisfaction,jobFunction,companyCulture,postedon,pros,careerGrowth,salaryBenefits,company,cons,workLifeBalance,jobSecurity
4,,Going good,4,4,Senior Technical Support Executive for 4.5 years in Pune,5,7-Apr-21,In the infosion working like as team.. trying to give 100% to company. Also enjoying work.,5,4,Infosys,Don't have any issue,5,5
2,Pune,flexible,3,2,Senior System Engineer,5,12-May-21,Infosys is if you get into good unit. Its all depends on working unit and project,2,2,Infosys,Nothing,3,5
2,Pune,,3,1,Senior System Engineer,4,12-May-21,Just the training part and mysore campus.,2,1,Infosys,Management.,2,3
4,Nagpur,Best,4,4,Junior Engineer,4,12-May-21,Environment and work management,4,3,Infosys,Everything is good,4,5
4,,Good,5,4,Senior Software Engineer for 2.6 years in Bangalore Rural,5,12-May-21,Learning platforms,4,3,Infosys,None,5,5
3,Hyderabad/Secunderabad,Please don't join,3,1,Senior Test Engineer,3,29-Apr-21,Culture,1,1,Infosys,Salary structure,1,3
3,Chennai,,3,2,Project Manager,3,5-May-21,Infrastructure,2,2,Infosys,Career growth,2,3
3,Hyderabad/Secunderabad,,3,2,Software Engineer,3,5-May-21,Company Policies,3,3,Infosys,Trainingng,4,3
1,Banagalore,Average,3,1,Systems Engineer,3,14-May-21,Work days:,1,1,Infosys,,1,5
4,,If you want to grow and wants to gain knowledge from buttom then join Infosys.,3,4,Process Specialist for 4.3 years in Bhubaneswar,4,31-Mar-21,Good working environment.,3,3,Infosys,Work timings: ,4,5
4,Mysore,Design Engineer in Aerospace Domain,4,4,Engineering Analyst,4,30-Mar-21,Work Culture is good,4,4,Infosys,Work days:,4,4
5,Bangalore Urban,,4,3,Process Specialist,5,7-Apr-21,Very Good Culture Work Life Balance,2,1,Infosys,Compensation,4,5
4,Pune,I want work permanently,3,4,Back Office/data Entry Operator,4,5-Sep-21,It is very good opportunity to join to developing our skills and knowledge with Infosys company,4,4,Infosys,I am fresher. I want to work Good company to skills development,4,4
5,,The job is quite interesting. I learnt everything on the job. I got a chance to learn new different things.,5,4,Process Executive for 1 year in Bangalore,5,4-Oct-20,"Good work environment and culture. Teammates and the Management are friendly and supportive.Cafeteria is chilling and huge. Company policies are good, appraisals are fair.",5,4,Infosys,Work timings: ,4,5
4,Bengaluru,,5,4,SAP Material Management,5,8-Jul-21,Good environment,3,2,Infosys,Compansation,4,5
4,Bangalore,,4,4,Process Engineer-plant Design,4,27-Jun-21,good,4,4,Infosys,Nothing,4,4
4,Hyderabad/Secunderabad,,4,3,Technology Architect,4,26-Apr-21,Job Security,3,3,Infosys,"Career Growth, Appraisal, Salary Hike, Too Many Hierarchy levels",3,3
4,Pune,Too much work for very less/least salary one can get.,3,1,Software Engineer,3,20-Mar-21,Ease of work. We are not programming rockets.,2,1,Infosys,Salary structure not very good. Hike is very low.,3,4
4,,Good,4,4,Senior Associate Consultant for 2.3 years in Chennai,5,6-May-21,Job security,3,3,Infosys,Work days:,5,5
1,Bangalore Rural,Absolute shit,1,1,Process Executive,1,14-Apr-21,Absolutely nothing.... I feel like shit around here,1,1,Infosys,Everything,1,3
3,Pune,Vaccination,1,1,Team Leader Operations,1,9-Jul-21,Work timings: ,1,1,Infosys,,2,3
5,NEW PORT RICHEY,man,5,5,Manager/sr Manager - Facility Management,5,6-Jul-21,good,5,5,Infosys,good,5,5
3,Hyderabad/Secunderabad,,3,3,Senior System Engineer,5,13-Aug-21,Good experience for freshers,3,2,Infosys,Work timings: ,4,4
2,Bangalore Rural,Pathetic,3,1,Technology Lead -IT Delivery Management,3,21-Apr-21,Infrastructure,1,1,Infosys,No promotion on time,1,4
4,Mysore,Good,4,5,Test Analyst,5,21-May-21,Job security,4,3,Infosys,Compansation and Benefits,4,5
1,Gurgaon/Gurugram,Worst,1,1,Technology Analyst,1,21-Apr-22,No nothing,1,1,Infosys,Everything,1,5
4,Bangalore,,4,4,Senior Systems Engineer,5,30-Jul-21,"If you want job security, just go for it",5,2,Infosys,They can put you in Support projects anytime,4,5
3,Pune,,3,1,Senior Test Engineer,1,28-May-21,HR are worst part of company,1,1,Infosys,HR are worst part of company,1,4
4,Pune,Kind of ok,3,3,Associate/senior Associate -(nontechnical),3,21-Mar-21,Job security,3,1,Infosys,Pay scale. It's way below market standards,3,4
3,Pune,,3,3,Software Tester,3,26-Aug-21,Yes its was good,3,3,Infosys,Low salary as compare with infosys ltd,3,3
5,Bhubaneswar,,4,4,Senior System Engineer,3,27-Nov-20,"We have a fully secured job at Infosys, work life balance again depends on individual, if he works during office hours, then he will have time for his other life activites",3,4,Infosys,"Sometimes you have too much work, where you won't find time to feel tour life but this happens only 2 or 3 times when urgent work comes",3,5
4,Mangalore,,4,4,Senior Systems Engineer,4,25-Dec-18,"The company is open to innovation and really adopts latest technology. I love the fact that I am part of a team that markets reliable, high quality products and has a global client base. As s result, I get to travel abroad.",4,3,Infosys,"Let in Benefits and appraisal, promotion",4,4
5,Mysore,,5,5,Technology Analyst,5,17-Aug-21,Everything,5,5,Infosys,Nothing,5,5
5,Trivandrum,,5,5,Lead Technology Analyst,5,27-Mar-21,Good work environment and culture. Teammates are supportive and the management is transparent.,4,5,Infosys,Nothing,4,4
1,Bhubaneswar,,1,1,Technology Analyst,1,12-Aug-21,Only initial Mysore training was the best part.,1,1,Infosys,Didnt like anything.,1,4
5,Bbsr,,4,5,Technology Analyst,5,8-Jun-21,"Project works, Team, Manager, Campus, HR response, Management",5,4,Infosys,Work days:,4,5
5,,Better than almost all big players.,5,5,Technology Analyst for 4 months in Pune,5,6-May-21,Almost everything.,5,4,Infosys,Nothing as such,5,5
4,Nagpur,,4,4,Consultant - Infrastructure Management,4,6-May-21,Work environment,4,4,Infosys,Work days:,4,4
4,,Being a first job got to learn so many aspects of working life in such a good environment.,5,3,Senior Technical Support for 3.6 years in Pune,4,15-Aug-20,Work culture and environment are the two main key points for effective working in the organisation.,4,3,Infosys,Ups and downs are the part and parcel of work culture and being a working women will always try to keep up the good work whatever be the condition. Effective job help us to enhance the creativity of worker.,4,5
4,Chennai,,5,5,Senior Process Specialist,4,11-Jul-20,Work life balance and good management. In COVID-19 we are working from home/hometown. Management arranged everything to work from home. There is a zero bench policy...job security...very good management if we understood from their point of view... I ❤️ INFOSYS 👍,4,3,Infosys,Obviously salary 😉. Still we we love Infosys...🤗,5,5
4,Pune,,4,4,Technical Analyst,4,17-Apr-21,Work culture is very good and on time.,4,3,Infosys,Hike is very less compare to other companies.,4,4
3,Pune,Great,4,4,Senior System Engineer,4,18-Mar-21,Work culture is really good,3,2,Infosys,I just dislike the way our hike goes,3,5
5,Chennai,nicd,5,5,System Engineer,5,10-Nov-21,everything,5,5,Infosys,everything,5,5
5,Trivandrum,,4,4,System Engineer,4,7-Jun-21,Good teammates and management.,4,3,Infosys,Work timings: ,4,3
4,PUNE,,4,3,Technical Test Lead,3,7-Jun-21,There is lot to explore if you are looking for long term career.,4,3,Infosys,Poor pay,4,5
2,Hyderabad/Secunderabad,,2,1,Devops Engineer,3,7-May-21,Good cab facilities . good environment,1,1,Infosys,Hikes are not good..,2,4
4,,Training was too good,3,3,Associate Business Analyst for 6.1 years in Hyderabad/Secunderabad,4,11-Apr-22,Job security was good,3,2,Infosys,Compensation and benefits,3,5
5,Hyderabad,,5,4,Technical Analyst,5,21-Mar-21,Good wook environment. Supportive team members.,3,1,Infosys,Career growth and compensation are not good,5,5
3,Pune,,3,3,Technology Analyst,5,9-May-21,Good company work if you are looking for a safe job option. Then you should definitely go for it.,4,3,Infosys,Work timings: ,4,5
4,Mysore,It's good,4,5,Test Analyst,4,12-Apr-21,Work culture and job security,4,4,Infosys,Work days:,4,5
4,Bangalore Rural,,3,4,Senior Engineer,3,12-Apr-21,didn't good exposure on the latest technologies,3,2,Infosys,teammates are very good. they are also having same troubles like us,3,5
4,Hyderabad/Secunderabad,,4,4,Technical Analyst,4,2-Jul-21,Good work life balance,4,3,Infosys,Work days:,4,5
4,Hyderabad/Secunderabad,,4,5,Technology Analyst,3,26-Jul-21,You can explore and increase you technical skills.,5,2,Infosys,Work timings: ,5,5
4,Chennai,,4,2,Senior Consultant,4,1-Jun-21,"Culture, Branding",2,1,Infosys,Low Hikes and Less promotions,5,5
4,,,4,3,Java Developer for 9.3 years in Hyderabad/Secunderabad,3,23-Mar-21,Job security is good,1,1,Infosys,career growth and salary,3,4
4,Mysuru,,4,4,Senior Test Engineer,4,6-Apr-21,"Job security, work culture",3,2,Infosys,Leaves and hike,4,4
4,Pune,Best,4,4,Associate/senior Associate -(nontechnical),4,6-Apr-21,Work life balance,4,3,Infosys,More career opportunities for growth,5,5
5,Pune,RPA Developer,5,5,Technology Analyst,5,2-Aug-21,Everything,5,5,Infosys,Nothing,5,5
1,Pune,Stunts growth,1,1,Operations Executive,1,15-Jun-21,Nothing,1,1,Infosys,Everything,4,4
2,Bangalore Rural,,3,2,Associate Consultant,2,3-Dec-20,Though job is secured but the HR policies are if no use. They never come to rescue when you need them. The cimpany policies are are just in the matter of pen and paper,3,2,Infosys,"Screwed work life balance, delayed promotion, non cooperative HR",1,4
5,Pune,great,5,5,Test Engineer,5,20-Aug-21,good kooda,4,5,Infosys,good,5,4
4,Pune,,4,4,Senior System Engineer,4,27-Mar-21,"Just that the compensation for employees who are with them from the start of their careers, is not upto the industry standards",4,2,Infosys,Compensation policies,4,5
4,Pune,very good.,4,4,Process Specialist,5,31-May-21,Infosys culture,3,3,Infosys,Overall experience is very good.,4,5
4,,Overall experience is good,4,4,Test Engineer for 3.3 years in Pune,5,9-May-21,"It's environment, supportive managers and good team players",5,4,Infosys,Work timings: ,4,5
4,Chennai,Working as Techno Functional Expert in Insurance Domain,4,2,Senior Associate Consultant,2,10-May-21,Working on tasks,3,3,Infosys,No Career Improvement,4,5
3,Mumbai,,3,3,Senior Associate,3,12-Nov-21,NANANANANANNANAN,3,3,Infosys,NANANANANANANANAN,3,3
5,Bangalore,Motivational and skill Upgradation,4,5,Process Specialist,4,9-May-21,Good work environment,4,4,Infosys,Nothing,4,5
5,Bangalore Rural,Good,4,3,Process Specialist,4,9-May-21,People and policy,4,3,Infosys,No work life balance,3,5
4,Pune,Good,4,3,Senior Test Engineer,4,31-Mar-21,Job security,3,3,Infosys,Salary increment,4,5
4,Jaipur,Good.,4,3,Process Specialist,5,28-Mar-21,Policies are good.,4,3,Infosys,Transport policY should need to be better.,4,5
5,Mysuru/Mysore,,5,5,System Engineer Trainee,5,5-Dec-21,Igeiiihggyhgetui,5,5,Infosys,,5,5
5,,,4,4,Technology Analyst for 7.5 years in Chennai,4,20-Apr-21,work here with job security,4,3,Infosys,Resource management,3,4
2,Pune,Work life balance was good but it completely depends on the type of project you are allocated.,3,2,Senior System Engineer,4,21-Apr-22,"Flexible work hours, Great office campus, Lots of fun activities, Mysuru training is the best in industry",3,1,Infosys,"Lower compensation that market norms, Lack of standard matket practise when it comes to software quality, No emphasis on individual employees due to great strength of employees",3,5
4,Mysuru,Fresher,5,5,Accounts Faculty,5,18-May-21,It's very secure and good environment. It's improve the our career no,3,4,Infosys,No,4,5
3,Hyderabad/Secunderabad,,3,4,Technology Analyst,4,2-Jun-21,Good work culture to work,4,2,Infosys,Work timings: ,3,4
3,Trivandrum,Superb,5,4,Senior Systems Engineer,5,13-Apr-21,Work culture is commendable,4,3,Infosys,Less yearly increment,5,5
4,Bangalore Rural,Great,5,5,Assistant Manager Operations,5,24-Mar-21,"Work culture, management",5,2,Infosys,Salary is less,5,5
4,Hyderabad/Secunderabad,,3,4,Technology Analyst,4,16-Sep-21,Comfort in work,5,3,Infosys,Salary is very low,4,4
5,Bhubaneswar,Very Good,5,4,Software Test Engineer,5,18-Dec-20,Very good organization. If someone needs a stable job with great learning opportunity. this is the place.,4,3,Infosys,"They charge for basic facilities like car parking, bus transportation at some olaces is bit costly",4,5
3,Pune,,3,2,Accountant,3,23-Mar-21,Work life balance and job security,1,1,Infosys,Compensation and Benefits nothing. Overall 4 to 5 % hike given by company in last 5 year. This is very less for average salary employees 15k-20k .,4,3
4,,,5,4,Senior .net Developer for 9.5 years in Trivandrum,4,27-Aug-21,Good company,4,3,Infosys,Old technology,4,5
4,Pune,,5,4,Process Specialist,5,4-May-21,Work culture,4,1,Infosys,In terms of salary hike this is worst company I've ever came accross.,4,5
5,Bangalore Rural,,4,2,Specialist Programmer,4,10-Jan-21,Opportunity to reskill and learn new technologies are available. Internal learning platform(LEX) is very good.,3,2,Infosys,Compensation/Hikes are less compared to its competitors. Work life balancing will be hard.,2,5
3,,,4,3,It Technology Lead for 3.2 years in Sunnyvale,5,19-Jan-22,"Onsite opportunities, employee friendly organization",3,3,Infosys,Salary is very very low..,3,5
5,Mangaluru,,4,3,Technology Analyst,4,8-Sep-21,"Job security,One can upskill using internal portals, trainings are provided, sometimes work will be hectic",4,3,Infosys,Work timings: ,3,4
4,,,4,4,Senior Systems Engineer for 3.1 years in Hyderabad/Secunderabad,5,24-May-21,Excellent Job security,2,2,Infosys,Compensation and appraisals,5,5
2,Hyderabad/Secunderabad,No work lire balance,3,1,Associate/senior Associate -(nontechnical),1,1-Apr-21,Variable payout at quarterly basis,1,2,Infosys,Poor management and staffing,1,2
4,Hyderabad/Secunderabad,It had been so cool.,4,4,Senior Systems Engineer,3,31-Mar-21,Job Security and work-life balance is better.,4,2,Infosys,Cannot expect bigger hikes.,4,4
4,,Not bad,3,3,Senior Process Executive for 3.5 years in Pune,3,12-May-21,Everthing is good,2,3,Infosys,Salary need to be increased,3,3
3,Pune,,3,2,Senior Systems Engineer,1,26-Mar-21,Job security,3,1,Infosys,Compensation and work life balance,2,5
5,,,5,5,System Engineer for 2.7 years in Bangalore,5,28-Jul-21,No,5,5,Infosys,Work days:,5,5
3,Bengaluru,No work life balance,1,1,Project Manager,1,5-Mar-21,Learning,1,1,Infosys,Politics and no proper hike,1,3
3,Pune,good,3,3,Senior Systems Engineer,3,3-Jun-21,Good Job security,3,2,Infosys,less compensation,4,5
4,Bengaluru,,3,3,System Engineer,4,7-Jul-21,Good enviornment,4,3,Infosys,Growth is slow,3,3
4,,"I am leading a team of size 8 which has client focus. Our project focuses on high visibility data and downstream. Basically 3 tracks within, I am leading all the 3 tracks. As I get closely work with clients, it is great learning experience.",5,5,Technology Analyst for 10.2 years in Chennai,4,24-Feb-20,"I am part of team which has client focus and happy that i am leading that team. Have a very good work life balance. Flexible timings, awesome work environment and of course my team mates.",3,3,Infosys,"Delayed role change, compensation not much satisfactory, less/no manager attention to team mates until there is a red flag from client.formality appraisal by managers.",5,4
5,Hyderabad/Secunderabad,nice,5,5,Azure Admin,5,6-Jul-21,no need,5,5,Infosys,nothing nice,5,5
5,,,4,4,Associate Consultant for 9 months in Bangalore Rural,5,20-May-21,If you want to learn ..this is a right place,5,4,Infosys,Lots of work beyond your profile,4,5
5,,Excellent learned a lot,5,5,Senior Process Executive for 2.5 years in Bangalore Rural,5,21-Apr-21,Well satisfied with every thing,5,4,Infosys,Package is low,5,5
5,Hyderabad/Secunderabad,Good,5,5,Senior Associate Consultant,5,12-Apr-21,Work culture,5,5,Infosys,Work hours,5,5
5,Pune,,4,4,Technology Analyst,4,29-Mar-21,"Brand value, clients..",5,3,Infosys,Compensation and package... Also no hike / negligible hike,4,5
5,,,5,5,System Engineer for 2 year in Pune,5,29-Mar-21,Provide job security and better facilities,5,5,Infosys,Work days:,5,5
5,Pune,,5,3,Senior Systems Engineer,5,22-Mar-21,Lots of learning and opportunities.,4,3,Infosys,Very bad compensation and benefits.,4,5
4,Chennai,Good,4,4,Senior Systems Engineer,4,19-May-21,Infrastructure,4,3,Infosys,Less salary,4,5
3,Mysore,,5,3,Test Engineer,5,19-Apr-21,It's work culture stands out each time when we talk about working at Infosys,3,3,Infosys,Work timings: ,4,5
5,Bhubaneshwar,Very good.,4,3,Technology Lead,5,19-Jun-21,Infosys office.,3,3,Infosys,Technology movement.,5,5
4,Dublin,Its a great company,4,3,Customer Service Executive,4,15-Apr-21,Great company with room for growth,3,2,Infosys,The salary is a bit low,3,5
